r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
r_seed=20,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.393000,  58.129000,  48.136000,  49.854000,  48.028000,  12.414000,  13.501000,  12.719000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.159131,  -0.193804,   0.020376,   0.227719,   0.078171,   0.038735,   0.787586,   0.165944,  
Y Velocity[A/fs],   0.091683,  -0.076647,  -0.214533,  -0.026540,   0.217717,  -0.784843,  -0.120046,   0.770095, 
Z Velocity[A/fs],  -0.007087,  -0.011779,   0.007657,  -0.019142,   0.014184,   0.051637,   0.041840,  -0.028488,  
Speed[A/fs],   0.183789,   0.208743,   0.215635,   0.230058,   0.231760,   0.787493,   0.797780,   0.788286,  
 
r_seed=21,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  67.834000,  59.580000,  50.102000,  48.925000,  48.130000,  12.393000,  13.541000,  12.626000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.163118,  -0.189116,   0.029475,   0.232794,   0.078010,   0.059326,   0.793665,   0.185673,  
Y Velocity[A/fs],   0.091846,  -0.080946,  -0.207393,  -0.021993,   0.217614,  -0.780128,  -0.084149,   0.768077, 
Z Velocity[A/fs],   0.012153,  -0.011695,  -0.009983,   0.024312,  -0.018925,  -0.011417,  -0.000479,   0.016570,  
Speed[A/fs],   0.187592,   0.206044,   0.209714,   0.235091,   0.231947,   0.782464,   0.798114,   0.790374,  
 
r_seed=22,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  67.757000,  56.693000,  49.188000,  50.365000,  48.576000,  12.459000,  13.533000,  12.691000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.163272,  -0.198385,   0.019865,   0.226397,   0.076897,   0.058412,   0.791672,   0.153542,  
Y Velocity[A/fs],   0.091389,  -0.081206,  -0.210480,  -0.027765,   0.215438,  -0.781444,  -0.056632,   0.772852, 
Z Velocity[A/fs],  -0.008974,   0.013176,  -0.007925,  -0.006594,   0.014172,   0.052404,   0.019134,   0.004800,  
Speed[A/fs],   0.187324,   0.214767,   0.211564,   0.228189,   0.229188,   0.785375,   0.793925,   0.787971,  
 
r_seed=23,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.276000,  59.471000,  48.873000,  49.063000,  47.975000,  12.387000,  13.419000,  12.533000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160012,  -0.189159,   0.029330,   0.232065,   0.077198,   0.009342,   0.792717,   0.095625,  
Y Velocity[A/fs],   0.093324,  -0.075667,  -0.211879,  -0.018867,   0.218795,  -0.784084,  -0.081234,   0.783481, 
Z Velocity[A/fs],  -0.011644,   0.016239,   0.005069,  -0.023761,   0.012422,  -0.000612,   0.002206,   0.006272,  
Speed[A/fs],   0.185604,   0.204378,   0.213959,   0.234040,   0.232347,   0.784140,   0.796872,   0.789319,  
 
r_seed=24,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  67.338000,  60.116000,  48.532000,  48.979000,  49.495000,  12.387000,  13.606000,  12.872000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.164923,  -0.187886,   0.022108,   0.232329,   0.079146,   0.062464,   0.793322,   0.175979,  
Y Velocity[A/fs],   0.096234,  -0.075597,  -0.213825,  -0.029995,   0.211876,  -0.783734,  -0.091296,   0.766916, 
Z Velocity[A/fs],   0.002447,   0.007814,  -0.017166,   0.004938,   0.010576,  -0.015319,  -0.038888,   0.011633,  
Speed[A/fs],   0.190963,   0.202675,   0.215649,   0.234309,   0.226423,   0.786368,   0.799504,   0.786933,  
 
r_seed=25,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.837000,  57.588000,  48.591000,  50.279000,  47.844000,  12.371000,  13.507000,  12.520000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160724,  -0.195604,   0.028073,   0.227650,   0.072318,   0.035405,   0.791634,   0.101629,  
Y Velocity[A/fs],   0.082676,  -0.086593,  -0.213700,  -0.020941,   0.220221,  -0.783870,  -0.028449,   0.780333, 
Z Velocity[A/fs],  -0.008809,   0.012507,   0.001862,  -0.010510,   0.010829,   0.016926,   0.003848,   0.015138,  
Speed[A/fs],   0.180956,   0.214280,   0.215544,   0.228853,   0.232044,   0.784852,   0.792154,   0.787069,  
 
r_seed=26,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  66.962000,  58.783000,  48.975000,  49.293000,  49.099000,  12.394000,  13.429000,  12.755000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165428,  -0.191975,   0.024474,   0.231282,   0.075023,   0.078404,   0.793513,   0.161219,  
Y Velocity[A/fs],   0.087294,  -0.085054,  -0.211813,  -0.028536,   0.213586,  -0.780843,  -0.054674,   0.768188, 
Z Velocity[A/fs],   0.003251,   0.005556,  -0.019264,   0.005929,   0.017042,  -0.032348,  -0.053765,   0.009914,  
Speed[A/fs],   0.187076,   0.210046,   0.214090,   0.233112,   0.227019,   0.785436,   0.797209,   0.784986,  
 
r_seed=27,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.383000,  58.718000,  49.534000,  49.713000,  46.109000,  12.346000,  13.557000,  12.566000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.159158,  -0.191713,   0.028599,   0.228755,   0.072880,   0.049937,   0.792135,   0.119520,  
Y Velocity[A/fs],   0.087461,  -0.081267,  -0.209383,  -0.016295,   0.226306,  -0.781306,  -0.074542,   0.784064, 
Z Velocity[A/fs],  -0.000070,   0.008853,  -0.006778,  -0.001439,   0.007927,   0.020957,   0.014251,   0.050952,  
Speed[A/fs],   0.181606,   0.208415,   0.211436,   0.229339,   0.237884,   0.783180,   0.795762,   0.794756,  
 
r_seed=28,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.975000,  58.266000,  49.777000,  47.457000,  50.705000,  12.328000,  13.461000,  12.917000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.158200,  -0.194126,   0.022024,   0.239773,   0.085115,   0.038022,   0.797937,   0.181379,  
Y Velocity[A/fs],   0.092107,  -0.078278,  -0.208601,  -0.035740,   0.207235,  -0.783604,  -0.091685,   0.762302, 
Z Velocity[A/fs],  -0.007597,   0.018733,   0.005777,  -0.007579,  -0.007277,  -0.011050,   0.008703,   0.003902,  
Speed[A/fs],   0.183217,   0.210150,   0.209840,   0.242541,   0.224151,   0.784603,   0.803234,   0.783593,  
 
r_seed=29,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  66.927000,  60.355000,  50.155000,  48.887000,  47.544000,  12.409000,  13.419000,  12.623000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165868,  -0.187003,   0.031949,   0.233483,   0.072156,   0.075730,   0.791930,   0.117845,  
Y Velocity[A/fs],   0.087922,  -0.084963,  -0.207577,  -0.017400,   0.220293,  -0.777996,  -0.095398,   0.779741, 
Z Velocity[A/fs],   0.007706,   0.008992,  -0.010389,   0.010476,  -0.016298,   0.023963,   0.010734,  -0.022985,  
Speed[A/fs],   0.187888,   0.205596,   0.210278,   0.234364,   0.232382,   0.782040,   0.797727,   0.788930,  
 
r_seed=30,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.119000,  57.936000,  49.469000,  49.367000,  48.000000,  12.330000,  13.604000,  12.477000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.159891,  -0.194914,   0.018209,   0.230461,   0.079878,   0.037803,   0.795001,   0.145630,  
Y Velocity[A/fs],   0.094564,  -0.074035,  -0.210099,  -0.030209,   0.217806,  -0.781755,  -0.025977,   0.777465, 
Z Velocity[A/fs],   0.000898,   0.015645,  -0.002308,  -0.000197,  -0.005286,  -0.002193,  -0.025832,  -0.008643,  
Speed[A/fs],   0.185764,   0.209087,   0.210899,   0.232433,   0.232052,   0.782671,   0.795845,   0.791034,  
 
