C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],  -0.008125,   0.012977,   0.064419,  -0.090577, 
Z Velocity[A/fs],   0.004641,  -0.002549,  -0.069272,   0.068936,  
Speed[A/fs],   0.162031,   0.163324,   0.684822,   0.662321,  
 
C2H2_14r116,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8564341068,    2.3184477091,    0.9995561687,    0.9998905947,  
Time[fs],  60.045000,  59.155000,  26.869000,  27.012000,  
Charge Sum,    6.1743285793, 
X Velocity[A/fs],  -0.180510,   0.182219,  -0.662343,   0.645409,  
Y Velocity[A/fs],   0.005417,  -0.001606,  -0.051197,  -0.000040, 
Z Velocity[A/fs],   0.005584,  -0.010656,  -0.060926,   0.079963,  
Speed[A/fs],   0.180678,   0.182537,   0.667107,   0.650344,  
 
C2H2_14r125,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0379718542,    2.2654734850,    0.9990838784,    0.9999400603,  
Time[fs],  57.975000,  61.601000,  26.812000,  27.020000,  
Charge Sum,    6.3024692778, 
X Velocity[A/fs],  -0.187140,   0.172005,  -0.681169,   0.639512,  
Y Velocity[A/fs],   0.001078,  -0.008880,  -0.015685,   0.054349, 
Z Velocity[A/fs],   0.001548,  -0.004316,   0.039608,   0.033858,  
Speed[A/fs],   0.187149,   0.172288,   0.682500,   0.642710,  
 
C2H2_14r103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0742454529,    2.2825161219,    0.9991957883,    0.9998941572,  
Time[fs],  59.084000,  59.354000,  26.833000,  26.796000,  
Charge Sum,    6.3558515203, 
X Velocity[A/fs],  -0.181474,   0.178866,  -0.676688,   0.656037,  
Y Velocity[A/fs],   0.005885,  -0.005539,  -0.075709,   0.083574, 
Z Velocity[A/fs],   0.003663,  -0.003116,  -0.074507,   0.069263,  
Speed[A/fs],   0.181606,   0.178979,   0.684974,   0.664956,  
 
C2H2_14r6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.5683317184,    1.8170082569,    0.9992293415,    0.9999425325,  
Time[fs],  62.728000,  66.267000,  26.671000,  26.650000,  
Charge Sum,    6.3845118493, 
X Velocity[A/fs],  -0.159190,   0.147460,  -0.688161,   0.651166,  
Y Velocity[A/fs],   0.000801,   0.000411,   0.041414,  -0.033288, 
Z Velocity[A/fs],   0.000221,   0.003623,   0.039386,  -0.045584,  
Speed[A/fs],   0.159192,   0.147505,   0.690530,   0.653607,  
 
C2H2_14r44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1287735701,    2.2325600386,    0.9994027663,    0.9999223740,  
Time[fs],  59.195000,  60.131000,  26.880000,  26.848000,  
Charge Sum,    6.3606587489, 
X Velocity[A/fs],  -0.180147,   0.175484,  -0.684117,   0.645774,  
Y Velocity[A/fs],  -0.000405,   0.006613,  -0.025799,  -0.050564, 
Z Velocity[A/fs],  -0.004891,   0.008857,   0.091510,  -0.098419,  
