r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
r_seed=12,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.140000,  25.195000,  25.594000,  22.386000,  10.027000,  10.605000,   9.683000,   9.486000,  10.021000,  10.032000,   9.492000,  10.077000,  10.674000,   9.413000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.377944,  -0.242738,   0.239499,   0.374992,  -0.126155,  -0.377480,  -0.835839,  -0.084253,  -0.449744,   0.451670,   0.049294,   0.125655,   0.386567,   0.845172,  
Y Velocity[A/fs],  -0.311419,   0.326925,   0.322399,  -0.315208,  -0.801852,  -0.151664,  -0.017854,   0.146785,   0.791245,   0.795533,   0.175207,  -0.802997,  -0.102735,  -0.046525, 
Z Velocity[A/fs],   0.121402,  -0.299694,   0.290333,  -0.117623,  -0.254727,   0.781034,  -0.295480,  -0.869896,   0.120596,  -0.062675,   0.865587,   0.210822,  -0.776820,   0.292856,  
Speed[A/fs],   0.504541,   0.505588,   0.495574,   0.503796,   0.850746,   0.880628,   0.886710,   0.886207,   0.918085,   0.916955,   0.884516,   0.839666,   0.873749,   0.895681,  
 
r_seed=13,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.291000,  25.213000,  25.438000,  22.512000,  10.072000,  10.603000,   9.277000,   9.553000,   9.851000,  10.000000,   9.451000,   9.976000,  10.801000,   9.381000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.375346,  -0.240327,   0.246473,   0.371762,  -0.113967,  -0.406811,  -0.864331,  -0.122256,  -0.425999,   0.446153,   0.085044,   0.154811,   0.405861,   0.848472,  
Y Velocity[A/fs],  -0.315780,   0.327203,   0.324531,  -0.323111,  -0.794858,  -0.150831,  -0.032057,   0.173830,   0.804499,   0.788679,   0.144667,  -0.810694,  -0.117183,  -0.059191, 
Z Velocity[A/fs],   0.108872,  -0.289967,   0.291542,  -0.106726,  -0.266801,   0.773972,  -0.218222,  -0.863216,   0.089855,  -0.124045,   0.865991,   0.231694,  -0.767003,   0.294178,  
Speed[A/fs],   0.502449,   0.498898,   0.501064,   0.503982,   0.846150,   0.887287,   0.892030,   0.888991,   0.914751,   0.914579,   0.882100,   0.857248,   0.875642,   0.899972,  
 
r_seed=14,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.763000,  25.883000,  25.264000,  21.977000,   9.885000,  10.678000,   9.407000,   9.604000,  10.087000,  10.160000,   9.363000,  10.037000,  10.720000,   9.578000,  
