r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.163629,  -0.193251,   0.026428,   0.237403,   0.080947,   0.052196,   0.880793,   0.189714,  
Y Velocity[A/fs],   0.095824,  -0.078349,  -0.224284,  -0.023891,   0.230721,  -0.874264,  -0.051376,   0.859403, 
Z Velocity[A/fs],   0.019302,  -0.016438,   0.000121,  -0.011376,  -0.004755,  -0.010121,  -0.002719,  -0.001344,  
Speed[A/fs],   0.190602,   0.209176,   0.225836,   0.238873,   0.244555,   0.875879,   0.882294,   0.880095,  
 
r_seed=13,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160624,  -0.195475,   0.028877,   0.240623,   0.084938,  -0.021259,   0.875973,   0.125441,  
Y Velocity[A/fs],   0.094256,  -0.082155,  -0.222765,  -0.026436,   0.226602,  -0.879288,  -0.070434,   0.870390, 
Z Velocity[A/fs],   0.004460,  -0.013999,   0.012442,   0.004072,  -0.015445,   0.024455,   0.071040,   0.006291,  
Speed[A/fs],   0.186291,   0.212499,   0.224973,   0.242105,   0.242490,   0.879885,   0.881667,   0.879406,  
 
r_seed=14,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
