C4H10_14r45, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Z Velocity[A/fs],0.012482,-0.114526,0.118014,-0.000304,-0.328880,0.724014,-0.185735,-0.852615,0.117220,-0.075172,0.843171,0.151358,-0.690190,0.350324,
Speed[A/fs],0.185078,0.203728,0.196016,0.188105,0.867958,0.877855,0.849319,0.868838,0.893224,0.874422,0.860655,0.842813,0.887398,0.887592,
,,,,,,,,,,,,,,,
C4H10_14r4, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.122319340292909, 2.20333288558543, 2.537217026385657, 2.059173835908493, 0.0008784516814016978, 0.002768985255200071, 0.02131394316221122, 0.0006401507659019454, 0.0001789671016290165, 0.007303975890786792, 0.003279553930500496, 0.000651351386065125, 0.00032483911035056, 0.0003063948905302364, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.000000, 30.000000, 27.000000, 28.000000, 28.500000, 28.000000, 28.000000, 29.500000, 29.500000, 26.500000, 
Density Sum, 8.959689701347065,,,,,,,,,,,,,,
X Velocity[A/fs],-0.140098,-0.081370,0.094806,0.136950,-0.136205,-0.523872,-0.793498,-0.072564,-0.499507,0.471836,0.070050,0.308562,0.394619,0.838718,
Y Velocity[A/fs],-0.123436,0.127503,0.131204,-0.124010,-0.821633,-0.157854,-0.085143,0.140837,0.719159,0.734708,0.173633,-0.697281,-0.280188,0.040862,
Z Velocity[A/fs],0.009432,-0.106184,0.100864,-0.009758,-0.162868,0.681424,-0.249520,-0.851266,0.094913,-0.049019,0.834859,0.466341,-0.729239,0.037284,
Speed[A/fs],0.186957,0.184806,0.190726,0.185011,0.848622,0.873898,0.836151,0.865884,0.880742,0.874544,0.855597,0.893804,0.875225,0.840540,
,,,,,,,,,,,,,,,
C4H10_14r44, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.210001826557967, 2.362943191672238, 1.835494570093203, 1.787610062998118, 0.0005066528548271418, 0.002767490497926361, 0.05394426362920059, 0.0007239706881455112, 0.003095607744537475, 0.002905648701526614, 0.002229093327222241, 0.001071980114640459, 0.003613083457109399, 0.0001923402079117305, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 30.000000, 26.500000, 28.000000, 29.000000, 28.500000, 28.000000, 29.000000, 28.500000, 26.500000, 
