C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],  -0.000499,   0.000047,   0.046261,  -0.001319, 
Z Velocity[A/fs],  -0.008838,   0.016106,   0.115069,  -0.081368,  
Speed[A/fs],   0.142005,   0.136017,   0.670500,   0.673385,  
 
C2H2_14r39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2258858681,    2.1108460426,    0.9989569399,    0.9999016989,  
Time[fs],  60.752000,  61.663000,  26.951000,  26.958000,  
Charge Sum,    6.3355905495, 
X Velocity[A/fs],  -0.172323,   0.168004,  -0.657807,   0.668745,  
Y Velocity[A/fs],  -0.000294,   0.004199,  -0.010547,  -0.013800, 
Z Velocity[A/fs],   0.009304,  -0.008000,  -0.068048,   0.101137,  
Speed[A/fs],   0.172575,   0.168247,   0.661401,   0.676490,  
 
C2H2_14r5,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7870697975,    2.5397887230,    0.9992757309,    0.9999492769,  
Time[fs],  57.585000,  56.567000,  26.837000,  26.786000,  
Charge Sum,    6.3260835283, 
X Velocity[A/fs],  -0.194270,   0.197422,  -0.656351,   0.675618,  
Y Velocity[A/fs],  -0.000862,  -0.000502,   0.064779,  -0.038904, 
Z Velocity[A/fs],  -0.000794,   0.001630,   0.069440,  -0.040687,  
Speed[A/fs],   0.194274,   0.197429,   0.663185,   0.677959,  
 
C2H2_14r170,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0769691467,    2.2448312044,    0.9993175422,    0.9999380495,  
Time[fs],  59.830000,  60.108000,  26.866000,  26.926000,  
Charge Sum,    6.3210559428, 
X Velocity[A/fs],  -0.178702,   0.176239,  -0.647411,   0.667215,  
Y Velocity[A/fs],  -0.012937,   0.009900,   0.105409,  -0.069254, 
Z Velocity[A/fs],  -0.010940,   0.002399,   0.075688,   0.044598,  
Speed[A/fs],   0.179504,   0.176533,   0.660288,   0.672281,  
 
C2H2_14r171,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1526670456,    2.1581947803,    0.9990426633,    0.9999135349,  
Time[fs],  60.351000,  61.669000,  26.860000,  26.952000,  
Charge Sum,    6.3098180241, 
X Velocity[A/fs],  -0.175145,   0.169109,  -0.656621,   0.674036,  
Y Velocity[A/fs],  -0.005439,  -0.001709,   0.055978,   0.047258, 
Z Velocity[A/fs],   0.005647,  -0.000890,  -0.055800,   0.081877,  
Speed[A/fs],   0.175321,   0.169120,   0.661361,   0.680633,  
 
C2H2_14r158,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7859830856,    2.5215241909,    0.9995129727,    0.9999493232,  
Time[fs],  55.252000,  59.340000,  26.702000,  26.947000,  
Charge Sum,    6.3069695725, 
X Velocity[A/fs],  -0.204560,   0.185022,  -0.663289,   0.668625,  
Y Velocity[A/fs],   0.007865,   0.001298,  -0.043172,   0.003234, 
Z Velocity[A/fs],   0.006808,  -0.000053,  -0.041707,  -0.002260,  
Speed[A/fs],   0.204824,   0.185027,   0.665999,   0.668637,  
 
C2H2_14r69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0899202824,    2.2523965836,    0.9990546794,    0.9999094845,  
Time[fs],  58.854000,  60.635000,  26.859000,  26.910000,  
Charge Sum,    6.3412810298, 
X Velocity[A/fs],  -0.182252,   0.174293,  -0.664124,   0.675421,  
Y Velocity[A/fs],   0.003409,   0.003345,  -0.022466,  -0.006177, 
Z Velocity[A/fs],  -0.004237,   0.007027,   0.082512,  -0.032167,  
Speed[A/fs],   0.182333,   0.174467,   0.669607,   0.676215,  
 
C2H2_14r131,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6594810486,    2.7103420496,    0.9991045479,    0.9999516333,  
Time[fs],  55.028000,  55.574000,  26.766000,  26.738000,  
Charge Sum,    6.3688792794, 
X Velocity[A/fs],  -0.209326,   0.205489,  -0.667834,   0.669669,  
Y Velocity[A/fs],  -0.002441,  -0.000301,   0.000353,   0.069685, 
Z Velocity[A/fs],   0.003199,  -0.002989,  -0.033224,   0.067653,  
Speed[A/fs],   0.209365,   0.205511,   0.668660,   0.676675,  
 
C2H2_14r113,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6662759781,    2.6681578159,    0.9991883996,    0.9999402800,  
Time[fs],  55.574000,  55.698000,  26.880000,  26.849000,  
Charge Sum,    6.3335624737, 
X Velocity[A/fs],  -0.206138,   0.204410,  -0.654724,   0.662731,  
Y Velocity[A/fs],  -0.002756,   0.004320,   0.094238,  -0.046510, 
Z Velocity[A/fs],   0.007353,  -0.005986,  -0.052094,   0.107059,  
Speed[A/fs],   0.206287,   0.204543,   0.663519,   0.672932,  
 
C2H2_14r91,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7628102303,    2.5847761631,    0.9992860032,    0.9999374466,  
Time[fs],  56.311000,  56.820000,  26.823000,  26.810000,  
Charge Sum,    6.3468098431, 
X Velocity[A/fs],  -0.200498,   0.196727,  -0.658824,   0.675473,  
Y Velocity[A/fs],   0.002300,   0.005478,  -0.025645,  -0.025797, 
Z Velocity[A/fs],  -0.003787,  -0.003431,   0.086825,  -0.031182,  
Speed[A/fs],   0.200547,   0.196833,   0.665015,   0.676684,  
 
C2H2_14r185,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177629948,    2.4273729324,    0.9991578980,    0.9999094823,  
Time[fs],  56.631000,  59.469000,  26.719000,  26.924000,  
Charge Sum,    6.3442033075, 
X Velocity[A/fs],  -0.194782,   0.181492,  -0.668353,   0.675127,  
Y Velocity[A/fs],  -0.000123,  -0.000407,   0.064100,  -0.022099, 
Z Velocity[A/fs],   0.008288,  -0.005568,  -0.056732,   0.071211,  
Speed[A/fs],   0.194958,   0.181577,   0.673813,   0.679232,  
 
C2H2_14r90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0843608379,    2.2389894724,    0.9992710701,    0.9999661021,  
Time[fs],  58.882000,  61.071000,  26.732000,  26.866000,  
Charge Sum,    6.3225874826, 
X Velocity[A/fs],  -0.182350,   0.172960,  -0.661373,   0.663347,  
Y Velocity[A/fs],  -0.001662,  -0.006319,   0.044342,   0.075990, 
Z Velocity[A/fs],   0.008258,   0.004536,  -0.031448,  -0.014002,  
Speed[A/fs],   0.182545,   0.173135,   0.663604,   0.667832,  
 
C2H2_14r177,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0281186104,    2.3201279640,    0.9991378851,    0.9999118432,  
Time[fs],  58.449000,  59.448000,  26.875000,  26.964000,  
Charge Sum,    6.3472963027, 
X Velocity[A/fs],  -0.185515,   0.180205,  -0.660125,   0.669362,  
Y Velocity[A/fs],  -0.000177,  -0.001033,  -0.034309,   0.077541, 
Z Velocity[A/fs],   0.006351,  -0.003932,  -0.050165,   0.101945,  
Speed[A/fs],   0.185623,   0.180250,   0.662917,   0.681507,  
 
C2H2_14r191,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9125826359,    2.3900002241,    0.9994268088,    0.9999530677,  
Time[fs],  58.995000,  58.093000,  26.780000,  26.898000,  
Charge Sum,    6.3019627365, 
X Velocity[A/fs],  -0.185109,   0.187382,  -0.654136,   0.667047,  
Y Velocity[A/fs],  -0.005516,   0.006094,   0.085971,  -0.055441, 
Z Velocity[A/fs],   0.003921,  -0.015095,   0.028444,   0.096264,  
Speed[A/fs],   0.185233,   0.188088,   0.660374,   0.676234,  
 
C2H2_14r128,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2605773211,    1.9764177799,    0.9994703056,    0.9999189302,  
Time[fs],  63.162000,  64.058000,  26.788000,  26.934000,  
Charge Sum,    6.2363843368, 
X Velocity[A/fs],  -0.162305,   0.158289,  -0.652246,   0.666072,  
Y Velocity[A/fs],   0.003580,  -0.004657,  -0.000617,   0.064050, 
Z Velocity[A/fs],  -0.004521,   0.003932,   0.063873,  -0.025452,  
Speed[A/fs],   0.162408,   0.158407,   0.655366,   0.669628,  
 
C2H2_14r63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0850602388,    2.3305038214,    0.9992979288,    0.9999681238,  
Time[fs],  57.298000,  58.988000,  26.746000,  26.686000,  
Charge Sum,    6.4148301128, 
X Velocity[A/fs],  -0.188951,   0.180793,  -0.671136,   0.668159,  
Y Velocity[A/fs],  -0.005758,   0.005362,   0.096027,  -0.059019, 
Z Velocity[A/fs],  -0.001487,   0.003638,   0.069701,  -0.033436,  
Speed[A/fs],   0.189045,   0.180909,   0.681544,   0.671593,  
 
C2H2_14r38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2858792543,    2.0902127028,    0.9991245461,    0.9999452375,  
Time[fs],  61.818000,  60.595000,  26.751000,  26.702000,  
Charge Sum,    6.3751617407, 
X Velocity[A/fs],  -0.167258,   0.170389,  -0.665487,   0.674281,  
Y Velocity[A/fs],   0.002476,  -0.002447,   0.003608,   0.055377, 
Z Velocity[A/fs],  -0.000749,   0.009637,   0.018944,  -0.057862,  
Speed[A/fs],   0.167278,   0.170679,   0.665767,   0.679021,  
 
C2H2_14r33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1727975607,    2.1863465309,    0.9988779011,    0.9998680537,  
Time[fs],  60.154000,  60.457000,  26.899000,  26.881000,  
Charge Sum,    6.3578900465, 
X Velocity[A/fs],  -0.175317,   0.173004,  -0.660860,   0.677312,  
Y Velocity[A/fs],  -0.009635,   0.007384,   0.108755,  -0.056171, 
Z Velocity[A/fs],   0.001531,   0.002612,   0.027642,  -0.029130,  
Speed[A/fs],   0.175588,   0.173181,   0.670319,   0.680262,  
 
C2H2_14r81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0285921097,    2.2315983772,    0.9995819873,    0.9999120903,  
Time[fs],  60.932000,  59.665000,  26.778000,  26.908000,  
Charge Sum,    6.2596845646, 
X Velocity[A/fs],  -0.174658,   0.177832,  -0.651682,   0.669023,  
Y Velocity[A/fs],  -0.007466,   0.007802,   0.064775,  -0.064523, 
Z Velocity[A/fs],   0.004879,   0.004002,  -0.021606,  -0.025697,  
Speed[A/fs],   0.174885,   0.178048,   0.655250,   0.672618,  
 
C2H2_14r109,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7191677094,    2.6426166296,    0.9989852194,    0.9999161157,  
Time[fs],  56.130000,  55.597000,  26.843000,  26.811000,  
Charge Sum,    6.3606856740, 
X Velocity[A/fs],  -0.202323,   0.203774,  -0.664557,   0.665991,  
Y Velocity[A/fs],   0.000446,  -0.008890,   0.052383,   0.063074, 
Z Velocity[A/fs],  -0.006627,   0.013517,   0.045192,  -0.055425,  
Speed[A/fs],   0.202432,   0.204415,   0.668148,   0.671264,  
 
C2H2_14r40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1528012753,    2.2242121696,    0.9993014925,    0.9998948397,  
Time[fs],  57.964000,  60.908000,  26.723000,  26.845000,  
Charge Sum,    6.3762097771, 
X Velocity[A/fs],  -0.183741,   0.170865,  -0.667620,   0.678475,  
Y Velocity[A/fs],   0.010518,  -0.007306,  -0.067330,   0.057242, 
Z Velocity[A/fs],   0.003042,  -0.003081,  -0.026192,   0.075389,  
