C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Speed[A/fs],   0.246198,   0.240116,   0.233497,   0.237076,   0.886578,   0.927837,   0.886871,   0.886698,   0.913956,   0.901959,   0.893877,   0.903199,   0.906322,   0.857452,  
 
C4H10_14r26,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8469321728,    1.7372219563,    1.6185677052,    1.8738393784,    0.9991809761,    0.9972602017,    0.9512799941,    0.9991141254,    0.9997651213,    0.9989308404,    0.9976683075,    0.9946201509,    0.9995531526,    0.9996995237,  
Time[fs],  67.116000,  72.928000,  70.106000,  68.327000,  28.764000,  30.116000,  26.847000,  28.145000,  28.898000,  29.210000,  28.416000,  28.800000,  30.116000,  26.877000,  
Charge Sum,   17.0136336063, 
X Velocity[A/fs],  -0.175196,  -0.094049,   0.101139,   0.170944,  -0.203081,  -0.470634,  -0.848005,  -0.068851,  -0.511034,   0.519268,   0.002206,   0.210641,   0.436196,   0.832612,  
Y Velocity[A/fs],  -0.144706,   0.151759,   0.158518,  -0.148169,  -0.765956,  -0.272974,  -0.026859,   0.183361,   0.734846,   0.713395,   0.245214,  -0.754354,  -0.306273,   0.014990, 
Z Velocity[A/fs],   0.031590,  -0.130622,   0.134823,  -0.028342,  -0.390626,   0.722790,  -0.187677,  -0.858219,   0.123193,  -0.110736,   0.839413,   0.399868,  -0.714089,   0.133019,  
Speed[A/fs],   0.229415,   0.221219,   0.231375,   0.227989,   0.883470,   0.904674,   0.868940,   0.880285,   0.903510,   0.889288,   0.874499,   0.879383,   0.891063,   0.843304,  
 
C4H10_14r1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.0106098652,    1.8003778458,    1.3881127834,    2.0583567619,    0.9995267497,    0.9980340532,    0.9907679493,    0.9997025600,    0.9999497990,    0.9996184191,    0.9989481773,    0.9985010229,    0.9987578945,    0.9999073549,  
Time[fs],  68.157000,  68.320000,  74.647000,  67.924000,  28.379000,  30.226000,  27.073000,  28.251000,  28.831000,  29.300000,  28.085000,  28.604000,  28.829000,  26.819000,  
Charge Sum,   17.2411712363, 
X Velocity[A/fs],  -0.173282,  -0.103744,   0.105605,   0.174586,  -0.220081,  -0.552603,  -0.850367,  -0.111975,  -0.526340,   0.530013,   0.070111,   0.233202,   0.390343,   0.844228,  
