isoxazole_14r10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Time[fs],  82.707000,  90.151000,  74.922000,  70.705000,  71.807000,  31.524000,  31.797000,  31.145000,  
Charge Sum,    9.7151297971, 
X Velocity[A/fs],  -0.177514,  -0.160985,   0.059254,   0.225454,   0.033891,   0.218628,   0.733568,   0.124262,  
Y Velocity[A/fs],   0.071267,  -0.126058,  -0.186261,   0.028038,   0.196236,  -0.708934,   0.071920,   0.727606, 
Z Velocity[A/fs],   0.001109,  -0.006580,  -0.003513,   0.008706,  -0.005628,   0.004264,  -0.045983,   0.042421,  
Speed[A/fs],   0.191289,   0.204572,   0.195490,   0.227358,   0.199220,   0.741892,   0.738518,   0.739358,  
 
isoxazole_14r24,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1227746010,    0.9270467758,    1.3915467262,    1.4724469185,    1.5701932907,    0.9998093906,    0.9996085908,    0.9997435372,  
Time[fs],  82.588000,  93.046000,  72.886000,  71.444000,  66.392000,  31.303000,  31.207000,  31.629000,  
Charge Sum,    9.4831698308, 
X Velocity[A/fs],  -0.177158,  -0.155417,   0.069676,   0.220273,   0.039722,   0.074384,   0.743890,   0.062970,  
Y Velocity[A/fs],   0.055810,  -0.108531,  -0.194259,   0.015541,   0.226996,  -0.730060,   0.062976,   0.723501, 
Z Velocity[A/fs],   0.000596,  -0.008290,   0.012392,   0.004856,  -0.008936,  -0.067689,  -0.017736,   0.050800,  
Speed[A/fs],   0.185742,   0.189742,   0.206748,   0.220874,   0.230619,   0.736955,   0.746761,   0.728011,  
 
isoxazole_14r25,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.8227090836,    1.0793750286,    1.3768806458,    1.4707317352,    1.6474390030,    0.9998171416,    0.9997627013,    0.9998761626,  
Time[fs],  95.598000,  84.899000,  76.410000,  69.537000,  65.055000,  31.748000,  31.468000,  31.509000,  
Charge Sum,    9.3965915016, 
X Velocity[A/fs],  -0.147009,  -0.174944,   0.061383,   0.231673,   0.064617,   0.152388,   0.738225,   0.031460,  
Y Velocity[A/fs],   0.009397,  -0.152387,  -0.181901,  -0.002672,   0.240037,  -0.705903,   0.077977,   0.743076, 
Z Velocity[A/fs],   0.002699,  -0.005701,  -0.005248,   0.001695,  -0.008866,   0.037492,   0.010572,   0.055074,  
Speed[A/fs],   0.147334,   0.232077,   0.192050,   0.231695,   0.248740,   0.723137,   0.742407,   0.745778,  
 
isoxazole_14r26,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1004686356,    1.1521143913,    1.3731076717,    1.3986728191,    1.4087557793,    0.9998634219,    0.9996164333,    0.9999095987,  
Time[fs],  82.948000,  90.595000,  78.721000,  72.272000,  73.922000,  31.464000,  31.443000,  31.471000,  
Charge Sum,    9.4325087509, 
X Velocity[A/fs],  -0.174887,  -0.159878,   0.065651,   0.215985,   0.052253,   0.070962,   0.743020,   0.027802,  
Y Velocity[A/fs],   0.064471,  -0.120637,  -0.173400,   0.010217,   0.193293,  -0.727447,   0.052642,   0.738941, 
Z Velocity[A/fs],   0.000249,  -0.007973,   0.015865,   0.004395,  -0.012667,  -0.054949,  -0.004101,   0.061482,  
Speed[A/fs],   0.186392,   0.200444,   0.186089,   0.216271,   0.200632,   0.732963,   0.744894,   0.742015,  
 
