r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Speed[A/fs],   0.192530,   0.189883,   0.831235,   0.847112,  
 
r_seed=25,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.011000,  38.240000,   7.864000,   7.808000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196997,   0.186161,  -0.832214,   0.840365,  
Y Velocity[A/fs],  -0.012797,   0.000572,   0.007572,   0.028498, 
Z Velocity[A/fs],  -0.008272,   0.012703,   0.011086,  -0.021392,  
Speed[A/fs],   0.197586,   0.186595,   0.832322,   0.841120,  
 
r_seed=26,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.993000,  38.072000,   7.800000,   7.717000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196185,   0.186075,  -0.832883,   0.842993,  
Y Velocity[A/fs],  -0.000588,  -0.008610,   0.006477,  -0.014171, 
Z Velocity[A/fs],   0.007892,   0.000372,  -0.048322,   0.012946,  
Speed[A/fs],   0.196345,   0.186275,   0.834309,   0.843211,  
 
r_seed=27,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.057000,  38.136000,   7.888000,   7.714000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196286,   0.186436,  -0.834035,   0.840350,  
Y Velocity[A/fs],  -0.010803,   0.011730,   0.018844,   0.015600, 
Z Velocity[A/fs],   0.002205,   0.009171,  -0.013089,   0.002831,  
Speed[A/fs],   0.196596,   0.187029,   0.834350,   0.840499,  
 
r_seed=28,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.779000,  37.244000,   7.848000,   7.628000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192469,   0.190388,  -0.828756,   0.843172,  
Y Velocity[A/fs],  -0.004705,   0.002607,   0.028247,  -0.034001, 
Z Velocity[A/fs],  -0.012374,   0.019422,   0.022508,  -0.026362,  
Speed[A/fs],   0.192924,   0.191394,   0.829543,   0.844268,  
 
r_seed=29,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.751000,  37.329000,   7.875000,   7.691000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192175,   0.189439,  -0.831011,   0.847018,  
Y Velocity[A/fs],  -0.000421,  -0.005626,   0.050142,   0.009175, 
Z Velocity[A/fs],   0.004888,   0.004560,  -0.019094,   0.016065,  
Speed[A/fs],   0.192238,   0.189578,   0.832742,   0.847220,  
 
r_seed=30,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.055000,  37.970000,   7.790000,   7.699000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196255,   0.186967,  -0.831938,   0.840647,  
Y Velocity[A/fs],  -0.002434,   0.012072,   0.022901,  -0.031307, 
Z Velocity[A/fs],  -0.001929,   0.014489,   0.001344,  -0.009759,  
Speed[A/fs],   0.196279,   0.187916,   0.832254,   0.841287,  
 
r_seed=31,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.738000,  37.311000,   7.891000,   7.660000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192339,   0.189772,  -0.831195,   0.844548,  
Y Velocity[A/fs],   0.004945,   0.001261,  -0.026205,  -0.000743, 
Z Velocity[A/fs],  -0.003981,   0.008286,  -0.043248,  -0.048446,  
Speed[A/fs],   0.192444,   0.189957,   0.832732,   0.845937,  
 
r_seed=32,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.869000,  38.239000,   7.822000,   7.789000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197663,   0.186105,  -0.831961,   0.838294,  
Y Velocity[A/fs],   0.005924,  -0.008755,  -0.029145,   0.069333, 
Z Velocity[A/fs],   0.002058,   0.005797,  -0.007796,   0.009375,  
Speed[A/fs],   0.197763,   0.186401,   0.832508,   0.841209,  
 
r_seed=33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.715000,  37.451000,   7.910000,   7.697000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192879,   0.189433,  -0.828785,   0.843856,  
Y Velocity[A/fs],   0.017504,  -0.011627,  -0.054944,  -0.009755, 
Z Velocity[A/fs],  -0.002164,   0.006360,   0.042437,  -0.022845,  
Speed[A/fs],   0.193684,   0.189896,   0.831688,   0.844222,  
 
r_seed=34,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.885000,  38.242000,   7.786000,   7.715000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197088,   0.185678,  -0.833022,   0.839812,  
Y Velocity[A/fs],  -0.013876,   0.008410,  -0.003866,   0.039984, 
Z Velocity[A/fs],  -0.008741,   0.009316,  -0.015496,   0.017357,  
Speed[A/fs],   0.197769,   0.186102,   0.833175,   0.840942,  
 
r_seed=35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.018000,  38.229000,   7.853000,   7.798000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196472,   0.185742,  -0.834087,   0.842831,  
Y Velocity[A/fs],  -0.005323,   0.005053,  -0.009619,  -0.030457, 
Z Velocity[A/fs],   0.006296,   0.000664,   0.012666,   0.015386,  
Speed[A/fs],   0.196645,   0.185812,   0.834239,   0.843521,  
 
r_seed=36,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.233000,  37.793000,   7.793000,   7.700000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194635,   0.187089,  -0.833567,   0.843976,  
Y Velocity[A/fs],  -0.001390,  -0.007898,   0.001436,   0.031866, 
Z Velocity[A/fs],  -0.001431,   0.008247,  -0.020362,  -0.035195,  
Speed[A/fs],   0.194645,   0.187438,   0.833817,   0.845311,  
 
r_seed=37,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.246000,  37.942000,   7.877000,   7.677000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195152,   0.187200,  -0.833138,   0.840732,  
Y Velocity[A/fs],  -0.006328,   0.008258,   0.014792,  -0.027410, 
Z Velocity[A/fs],  -0.013936,   0.015680,  -0.003093,   0.021408,  
Speed[A/fs],   0.195751,   0.188037,   0.833275,   0.841451,  
 
r_seed=38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.507000,  37.491000,   7.767000,   7.738000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193951,   0.188910,  -0.829259,   0.845949,  
Y Velocity[A/fs],  -0.001938,   0.003280,   0.009271,   0.016311, 
Z Velocity[A/fs],   0.000696,   0.004155,   0.049053,  -0.001541,  
