isoxazole_14r10, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Density Sum, 16.60340849683495,,,,,,,,
X Velocity[A/fs],-0.075848,-0.120007,0.032840,0.185081,0.032822,0.168585,0.760877,0.044163,
Y Velocity[A/fs],-0.005781,-0.110018,-0.138795,0.000877,0.177777,-0.720579,0.079031,0.754309,
Z Velocity[A/fs],-0.000975,-0.001370,0.000251,0.001163,-0.001750,0.038501,0.010885,0.056233,
Speed[A/fs],0.076074,0.162812,0.142628,0.185087,0.180790,0.741038,0.765048,0.757690,
,,,,,,,,,
isoxazole_14r26, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.899531382041835, 3.847885491699292, 2.62689233446557, 2.601327227370968, 2.591244298350656, 0.0001365781176487899, 0.0003835667337360017, 9.040128172992811e-05, 
Time[fs], 85.500000, 85.500000, 85.500000, 78.500000, 82.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.56749128006144,,,,,,,,
X Velocity[A/fs],-0.103507,-0.111271,0.033369,0.184513,0.038136,0.084565,0.766516,0.040583,
Y Velocity[A/fs],-0.043095,-0.085883,-0.144316,0.014461,0.159277,-0.739158,0.053478,0.750642,
Z Velocity[A/fs],0.001538,-0.002330,-0.009346,0.004555,0.009855,-0.056164,-0.004246,0.062789,
Speed[A/fs],0.112130,0.140580,0.148419,0.185135,0.164075,0.746097,0.768391,0.754355,
,,,,,,,,,
isoxazole_14r27, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.939981766918153, 3.751390175240989, 2.523756369052538, 2.532051947670967, 2.711713303179403, 0.0001193845356209578, 0.0003458982688114983, 0.0001152609890368916, 
Time[fs], 84.500000, 84.500000, 84.500000, 78.500000, 83.000000, 31.500000, 31.000000, 31.000000, 
Density Sum, 16.45947410585552,,,,,,,,
X Velocity[A/fs],-0.101291,-0.123419,0.040346,0.187236,0.031991,0.209643,0.759830,0.038689,
Y Velocity[A/fs],0.042534,-0.094602,-0.147165,-0.003534,0.155847,-0.729889,0.068572,0.733042,
Z Velocity[A/fs],-0.000592,0.005498,0.001687,-0.000381,0.010130,0.033123,0.056613,0.091923,
Speed[A/fs],0.109860,0.155602,0.152605,0.187270,0.159418,0.760122,0.765016,0.739795,
,,,,,,,,,
isoxazole_14r29, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.905757615547973, 3.989590018331548, 2.658480282444867, 2.356172683222801, 2.515617403778728, 0.000180865383637889, 0.0001234465970844557, 0.000109089975445373, 
Time[fs], 77.500000, 77.500000, 77.500000, 76.000000, 76.000000, 31.000000, 31.500000, 30.500000, 
Density Sum, 16.42603140528208,,,,,,,,
X Velocity[A/fs],-0.105075,-0.097701,-0.001252,0.194030,0.023705,0.161531,0.758847,0.101332,
Y Velocity[A/fs],0.033346,-0.088960,-0.149690,-0.001431,0.175238,-0.735060,0.102619,0.739335,
Z Velocity[A/fs],-0.000962,0.000691,-0.001514,0.001808,-0.010660,0.048727,0.024461,-0.097832,
Speed[A/fs],0.110244,0.132136,0.149703,0.194043,0.177156,0.754175,0.766144,0.752632,
,,,,,,,,,
isoxazole_14r3, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.772205884625166, 3.740017405387574, 2.601727744081767, 2.580517490393272, 2.369203387587243, 0.0001920835995093277, 0.0003063550370720178, 9.204056375550625e-05, 
Time[fs], 90.500000, 90.500000, 82.500000, 76.500000, 71.000000, 31.000000, 30.500000, 31.500000, 
Density Sum, 16.06426239127536,,,,,,,,
X Velocity[A/fs],-0.110594,-0.120379,0.032256,0.190803,0.019304,0.168769,0.777970,0.304664,
Y Velocity[A/fs],-0.001920,-0.101076,-0.160802,-0.000330,0.191820,-0.741537,0.015874,0.703396,
Z Velocity[A/fs],0.000839,0.002644,-0.002837,-0.000916,-0.010238,0.051319,-0.015196,-0.116426,
Speed[A/fs],0.110614,0.157208,0.164029,0.190805,0.193060,0.762229,0.778280,0.775332,
,,,,,,,,,
isoxazole_14r30, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.83273920384433, 3.964466987012674, 2.424599760706764, 2.526564773694203, 2.522991410706851, 0.000236655962259083, 0.0004804924945002237, 0.0001865716881456727, 
Time[fs], 77.000000, 77.000000, 77.000000, 75.500000, 75.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.27226585610973,,,,,,,,
X Velocity[A/fs],-0.113209,-0.114930,0.047747,0.195522,0.021371,0.175340,0.773991,0.122771,
Y Velocity[A/fs],0.036072,-0.093935,-0.152256,0.007093,0.176575,-0.741715,0.010888,0.752020,
Z Velocity[A/fs],0.000005,0.005639,0.001100,-0.003265,-0.006730,-0.003521,-0.042740,-0.077315,
Speed[A/fs],0.118817,0.148541,0.159571,0.195678,0.177991,0.762166,0.775246,0.765888,
,,,,,,,,,
isoxazole_14r4, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7],  
Densities, 4.846604375093835, 3.888751955183873, 2.681106559291853, 2.542864860216664, 2.580605051579501, 0.0001255443791179606, 0.0001803980993918335, 9.286564865353097e-05, 
Time[fs], 90.500000, 90.500000, 86.000000, 81.500000, 82.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.54033160949289,,,,,,,,
X Velocity[A/fs],-0.108456,-0.105487,0.036449,0.177606,0.022865,0.057377,0.759413,0.112510,
Y Velocity[A/fs],0.054016,-0.079140,-0.148377,0.013160,0.159142,-0.745492,0.062970,0.748504,
Z Velocity[A/fs],-0.000773,0.000330,0.001749,-0.001430,0.000307,-0.068833,-0.024881,-0.023430,
Speed[A/fs],0.121165,0.131874,0.152798,0.178098,0.160777,0.750858,0.762425,0.757275,
,,,,,,,,,
isoxazole_14r5, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.801157807223432, 3.864202725489823, 2.619370816595031, 2.36833726642242, 2.537090918987001, 0.0001348172412159769, 0.0004122905862667564, 0.0002000395692861806, 
Time[fs], 104.000000, 104.000000, 82.000000, 77.000000, 73.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.19090668211447,,,,,,,,
X Velocity[A/fs],-0.093562,-0.093072,0.032502,0.191531,0.010885,0.190722,0.766829,0.156217,
Y Velocity[A/fs],0.032403,-0.086688,-0.159111,0.000489,0.183204,-0.735963,0.032408,0.727240,
Z Velocity[A/fs],-0.000774,0.001545,-0.003400,-0.000383,0.014861,-0.058664,0.035661,0.101543,
Speed[A/fs],0.099017,0.127199,0.162432,0.191532,0.184128,0.762534,0.768342,0.750728,
,,,,,,,,,
isoxazole_14r6, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.757479784831355, 3.781145391280769, 2.628578746200901, 2.447478638537782, 2.498274050871268, 0.0003356139539386898, 0.0006893191299637354, 0.0002723643182833216, 
Time[fs], 97.000000, 105.000000, 78.500000, 79.000000, 71.000000, 31.000000, 30.500000, 31.000000, 
Density Sum, 16.11425390912427,,,,,,,,
X Velocity[A/fs],-0.118123,-0.111839,0.039413,0.181959,0.033644,0.103379,0.775670,0.154687,
Y Velocity[A/fs],0.034573,-0.070560,-0.169164,-0.005390,0.189443,-0.750463,-0.002747,0.759741,
Z Velocity[A/fs],0.004628,0.001164,0.002309,-0.000836,0.008632,-0.041496,-0.030243,0.084208,
Speed[A/fs],0.123165,0.132242,0.173710,0.182041,0.192601,0.758686,0.776264,0.779888,
,,,,,,,,,
isoxazole_14r7, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7],  
Densities, 4.852876987598281, 3.934908484028897, 2.607750899782177, 2.620361633878421, 2.233552409692289, 0.0001901679600264555, 0.0003052289090878828, 0.0001370525271375644, 
Time[fs], 104.500000, 104.500000, 83.500000, 78.500000, 73.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.25008286437632,,,,,,,,
X Velocity[A/fs],-0.092543,-0.111550,0.033556,0.183969,0.018208,0.143503,0.762572,0.135099,
Y Velocity[A/fs],0.045348,-0.079942,-0.153040,-0.000927,0.188892,-0.743200,0.023535,0.750849,
Z Velocity[A/fs],-0.000378,0.004236,-0.002299,0.000478,-0.009329,-0.028160,0.073837,0.032564,
Speed[A/fs],0.103058,0.137302,0.156692,0.183972,0.189996,0.757451,0.766500,0.763601,
,,,,,,,,,
isoxazole_14r8, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 5.013849771303727, 3.737293744180402, 2.588077325700023, 2.702793655114604, 2.366025750107413, 0.0002977544952806398, 0.0005220984967497903, 0.0002955507791090741, 
Time[fs], 104.000000, 102.500000, 93.000000, 76.000000, 81.500000, 31.500000, 31.000000, 31.500000, 
Density Sum, 16.40915565017731,,,,,,,,
X Velocity[A/fs],-0.090242,-0.122843,0.033156,0.191915,0.022316,0.181664,0.777678,0.144980,
Y Velocity[A/fs],0.037570,-0.099190,-0.133282,0.005964,0.165511,-0.720141,0.041765,0.745093,
Z Velocity[A/fs],-0.003599,0.001749,-0.001230,0.002646,0.002202,0.012817,-0.007470,0.049393,
Speed[A/fs],0.097816,0.157900,0.137350,0.192026,0.167023,0.742812,0.778835,0.760673,
,,,,,,,,,
isoxazole_14r9, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.833266603439302, 3.757499154009387, 2.64089846140328, 2.362255137946107, 2.69486002750383, 0.0002080211941308157, 0.0002978121266472227, 7.578844531979284e-05, 
Time[fs], 91.000000, 91.000000, 86.000000, 78.000000, 76.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.289361006068,,,,,,,,
X Velocity[A/fs],-0.091000,-0.119149,0.036762,0.188964,0.008698,0.136554,0.765988,0.112365,
Y Velocity[A/fs],0.043312,-0.094057,-0.148491,0.003537,0.174077,-0.744778,0.025833,0.738609,
Z Velocity[A/fs],0.004720,-0.003518,0.003423,0.000017,-0.008868,0.027963,0.012869,-0.080104,
Speed[A/fs],0.100892,0.151841,0.153012,0.188997,0.174519,0.757709,0.766532,0.751389,
,,,,,,,,,
