C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
C2H2_14r171,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1526670456,    2.1581947803,    0.9990426633,    0.9999135349,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3098180241, 
X Velocity[A/fs],  -0.179141,   0.172864,  -0.739173,   0.717404,  
Y Velocity[A/fs],  -0.005447,  -0.001624,   0.039822,   0.029350, 
Z Velocity[A/fs],   0.005810,  -0.000904,  -0.083686,   0.067577,  
Speed[A/fs],   0.179318,   0.172874,   0.744960,   0.721178,  
 
C2H2_14r158,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7859830856,    2.5215241909,    0.9995129727,    0.9999493232,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3069695725, 
X Velocity[A/fs],  -0.210964,   0.189865,  -0.744212,   0.712792,  
Y Velocity[A/fs],   0.008043,   0.001356,  -0.066090,  -0.019405, 
Z Velocity[A/fs],   0.006990,   0.000002,  -0.064181,  -0.025211,  
Speed[A/fs],   0.211233,   0.189870,   0.749892,   0.713502,  
 
C2H2_14r69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0899202824,    2.2523965836,    0.9990546794,    0.9999094845,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3412810298, 
X Velocity[A/fs],  -0.186810,   0.178408,  -0.747061,   0.719053,  
Y Velocity[A/fs],   0.003487,   0.003444,  -0.046838,  -0.029358, 
Z Velocity[A/fs],  -0.004354,   0.007245,   0.068770,  -0.058572,  
Speed[A/fs],   0.186893,   0.178588,   0.751681,   0.722032,  
 
C2H2_14r131,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6594810486,    2.7103420496,    0.9991045479,    0.9999516333,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3688792794, 
X Velocity[A/fs],  -0.215972,   0.212023,  -0.750168,   0.717513,  
Y Velocity[A/fs],  -0.002503,  -0.000150,  -0.019693,   0.057816, 
Z Velocity[A/fs],   0.003304,  -0.002962,  -0.056783,   0.055921,  
Speed[A/fs],   0.216012,   0.212044,   0.752572,   0.722007,  
 
