C2H2_14r176, C[0], C[1], H[2], H[3], 
X Velocity[A/fs],-0.160371,0.146854,-0.672777,0.661001,
Y Velocity[A/fs],-0.003829,-0.002352,-0.060052,-0.017592,
Z Velocity[A/fs],0.002062,-0.002448,-0.058546,-0.023086,
Speed[A/fs],0.160430,0.146894,0.677985,0.661638,
,,,,,
C2H2_14r69, C[0], C[1], H[2], H[3], 
Densities, 1.910079748526316, 1.74760339638404, 0.0009453205991408436, 9.05155435011239e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.658718981052998,,,,
X Velocity[A/fs],-0.159725,0.157620,-0.676654,0.667851,
Y Velocity[A/fs],-0.004042,-0.002387,-0.042740,-0.026843,
Z Velocity[A/fs],-0.001231,0.001901,0.062918,-0.052884,
Speed[A/fs],0.159781,0.157650,0.680916,0.670479,
,,,,,
C2H2_14r131, C[0], C[1], H[2], H[3], 
Densities, 2.340518908434381, 1.289657999914041, 0.000895452128553882, 4.836668699180677e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.631120727163968,,,,
X Velocity[A/fs],-0.154596,0.159467,-0.678992,0.666932,
Y Velocity[A/fs],0.004362,0.003209,-0.017909,0.052601,
Z Velocity[A/fs],-0.005359,0.005313,-0.051719,0.050578,
Speed[A/fs],0.154750,0.159588,0.681194,0.670912,
,,,,,
C2H2_14r113, C[0], C[1], H[2], H[3], 
Densities, 2.333724097082817, 1.331842138587653, 0.0008116003762379178, 5.971999102060038e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.666437556037728,,,,
X Velocity[A/fs],-0.153947,0.159422,-0.667393,0.655915,
Y Velocity[A/fs],-0.002990,0.000138,0.074443,-0.066636,
Z Velocity[A/fs],0.002119,-0.000830,-0.072716,0.087615,
Speed[A/fs],0.153990,0.159425,0.675458,0.665087,
,,,,,
C2H2_14r91, C[0], C[1], H[2], H[3], 
Densities, 2.237189833600528, 1.415223811539239, 0.0007139968385418671, 6.255342596448693e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.653190195404274,,,,
X Velocity[A/fs],-0.153494,0.157000,-0.670533,0.670561,
Y Velocity[A/fs],-0.003957,-0.000318,-0.045347,-0.045352,
Z Velocity[A/fs],0.006129,-0.005355,0.067803,-0.050642,
Speed[A/fs],0.153667,0.157092,0.675476,0.673998,
,,,,,
C2H2_14r185, C[0], C[1], H[2], H[3], 
Densities, 2.082237027511863, 1.572627048865448, 0.0008421019747980578, 9.051770724733929e-05, 
Time[fs], 62.000000, 64.500000, 26.500000, 26.500000, 
Density Sum, 3.655796696059356,,,,
X Velocity[A/fs],-0.161111,0.154575,-0.678450,0.667865,
Y Velocity[A/fs],-0.000231,0.000674,0.047472,-0.042875,
Z Velocity[A/fs],-0.001497,0.004526,-0.074163,0.050870,
Speed[A/fs],0.161118,0.154643,0.684141,0.671170,
,,,,,
C2H2_14r90, C[0], C[1], H[2], H[3], 
Densities, 1.915639217171912, 1.76101055886598, 0.00072892989816006, 3.389788799350049e-05, 
Time[fs], 63.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.677412603824045,,,,
X Velocity[A/fs],-0.158907,0.154545,-0.672095,0.656378,
Y Velocity[A/fs],0.002074,0.003929,0.027308,0.056264,
Z Velocity[A/fs],-0.006938,-0.006641,-0.049230,-0.034302,
Speed[A/fs],0.159072,0.154738,0.674448,0.659677,
,,,,,
C2H2_14r177, C[0], C[1], H[2], H[3], 
Densities, 1.971881413435915, 1.679872083171668, 0.0008621148771192645, 8.815681707551271e-05, 
Time[fs], 63.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.652703768301778,,,,
X Velocity[A/fs],-0.158996,0.158710,-0.672740,0.661142,
Y Velocity[A/fs],-0.004113,0.000325,-0.054741,0.057036,
Z Velocity[A/fs],-0.006139,0.004020,-0.070715,0.081525,
Speed[A/fs],0.159167,0.158761,0.678658,0.668587,
,,,,,
C2H2_14r191, C[0], C[1], H[2], H[3], 
Densities, 2.087417363679327, 1.609999716355871, 0.0005731912312200475, 4.693231140259711e-05, 
Time[fs], 65.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.69803720357782,,,,
X Velocity[A/fs],-0.150372,0.158666,-0.665376,0.659562,
Y Velocity[A/fs],-0.000010,0.003812,0.067822,-0.076167,
Z Velocity[A/fs],0.000561,0.012117,0.010048,0.076310,
Speed[A/fs],0.150373,0.159174,0.668899,0.668316,
,,,,,
C2H2_14r128, C[0], C[1], H[2], H[3], 
Densities, 1.739422681149521, 2.023582246075279, 0.0005296944219940377, 8.10697588801182e-05, 
Time[fs], 66.000000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.763615691405675,,,,
X Velocity[A/fs],-0.149332,0.150597,-0.663363,0.657979,
Y Velocity[A/fs],-0.003380,-0.003097,-0.019419,0.043638,
Z Velocity[A/fs],0.003306,0.003244,0.045407,-0.046246,
Speed[A/fs],0.149407,0.150664,0.665199,0.661044,
,,,,,
C2H2_14r63, C[0], C[1], H[2], H[3], 
Densities, 1.9149397900091, 1.669496123839399, 0.0007020711511585177, 3.187623278070854e-05, 
Time[fs], 61.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.585169861232439,,,,
X Velocity[A/fs],-0.164839,0.161889,-0.681854,0.667618,
Y Velocity[A/fs],-0.002536,0.001426,0.078813,-0.075553,
Z Velocity[A/fs],-0.005141,0.003052,0.052297,-0.049749,
Speed[A/fs],0.164938,0.161925,0.688383,0.673719,
,,,,,
C2H2_14r38, C[0], C[1], H[2], H[3], 
Densities, 1.714120804140817, 1.909787245719934, 0.0008754538952128946, 5.476249371207062e-05, 
Time[fs], 63.500000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.624838266249676,,,,
X Velocity[A/fs],-0.155869,0.165277,-0.676290,0.672943,
Y Velocity[A/fs],0.003965,-0.002965,-0.014299,0.039271,
Z Velocity[A/fs],0.000701,0.001277,0.001069,-0.074957,
Speed[A/fs],0.155921,0.165309,0.676442,0.678243,
,,,,,
C2H2_14r33, C[0], C[1], H[2], H[3], 
Densities, 1.827202467098429, 1.813653433786738, 0.001122098839477253, 0.0001319462643196581, 
Time[fs], 63.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.642109945988964,,,,
X Velocity[A/fs],-0.158768,0.162388,-0.673413,0.670407,
Y Velocity[A/fs],-0.004137,-0.002247,0.088843,-0.076767,
Z Velocity[A/fs],-0.000855,-0.004791,0.007262,-0.049626,
Speed[A/fs],0.158824,0.162474,0.679287,0.676610,
,,,,,
C2H2_14r81, C[0], C[1], H[2], H[3], 
Densities, 1.971407927159571, 1.768401568331578, 0.0004180126894105822, 8.790965747700225e-05, 
Time[fs], 66.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.740315417838037,,,,
X Velocity[A/fs],-0.149551,0.158814,-0.662775,0.661187,
Y Velocity[A/fs],-0.001900,0.000730,0.046555,-0.085337,
Z Velocity[A/fs],-0.005810,-0.001135,-0.040411,-0.046426,
Speed[A/fs],0.149675,0.158820,0.665636,0.668285,
,,,,,
C2H2_14r109, C[0], C[1], H[2], H[3], 
Densities, 2.280832238721525, 1.357383397110553, 0.001014780614259825, 8.388432985269228e-05, 
Time[fs], 64.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.63931430077619,,,,
X Velocity[A/fs],-0.153257,0.161363,-0.677244,0.660288,
Y Velocity[A/fs],0.000386,-0.009966,0.032942,0.044155,
Z Velocity[A/fs],-0.001834,0.007503,0.025596,-0.075024,
Speed[A/fs],0.153268,0.161844,0.678527,0.666001,
,,,,,
C2H2_14r40, C[0], C[1], H[2], H[3], 
Densities, 1.847198694135077, 1.775787889615347, 0.0006985075565601168, 0.0001051602928558533, 
Time[fs], 60.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.623790251599841,,,,
X Velocity[A/fs],-0.164606,0.159920,-0.677889,0.672566,
Y Velocity[A/fs],0.012711,-0.003520,-0.084975,0.037647,
Z Velocity[A/fs],0.002084,-0.001246,-0.043497,0.055941,
Speed[A/fs],0.165109,0.159964,0.684577,0.675938,
,,,,,
C2H2_14r10, C[0], C[1], H[2], H[3], 
Densities, 2.243578246387386, 1.439799395628042, 0.0009247558922516056, 4.273539564115074e-05, 
Time[fs], 64.500000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.684345133303321,,,,
X Velocity[A/fs],-0.152420,0.155591,-0.670663,0.668577,
Y Velocity[A/fs],-0.001176,-0.000845,0.033064,0.038385,
Z Velocity[A/fs],0.009655,0.001525,0.050958,-0.049071,
Speed[A/fs],0.152730,0.155600,0.673408,0.671473,
,,,,,
C2H2_14r54, C[0], C[1], H[2], H[3], 
Densities, 2.276984678902719, 1.418981742642035, 0.0007418612126206903, 3.394312731122104e-05, 
Time[fs], 64.500000, 64.500000, 26.500000, 26.500000, 
Density Sum, 3.696742225884686,,,,
X Velocity[A/fs],-0.153858,0.153568,-0.673134,0.665551,
