C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Speed[A/fs],   0.181111,   0.162789,   0.706177,   0.669507,  
 
C2H2_14r35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1185960770,    2.1026802063,    0.9995066886,    0.9998987475,  
Time[fs],  61.162000,  63.100000,  26.781000,  26.937000,  
Charge Sum,    6.2206817194, 
X Velocity[A/fs],  -0.171344,   0.163223,  -0.684950,   0.664350,  
Y Velocity[A/fs],   0.007040,   0.003961,  -0.039151,  -0.031986, 
Z Velocity[A/fs],  -0.002825,   0.005289,   0.076806,  -0.050310,  
Speed[A/fs],   0.171512,   0.163357,   0.690353,   0.667020,  
 
C2H2_14r56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3560347557,    1.9464988708,    0.9990658187,    0.9999598480,  
Time[fs],  60.802000,  62.468000,  26.845000,  26.888000,  
Charge Sum,    6.3015592933, 
X Velocity[A/fs],  -0.172967,   0.166169,  -0.698374,   0.664589,  
Y Velocity[A/fs],   0.009487,  -0.000697,   0.014948,  -0.040711, 
Z Velocity[A/fs],  -0.008450,   0.002914,   0.053483,   0.005345,  
Speed[A/fs],   0.173433,   0.166196,   0.700578,   0.665857,  
 
C2H2_14r77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.4049944878,    1.9765021801,    0.9991732711,    0.9999547849,  
Time[fs],  60.876000,  60.115000,  26.845000,  26.738000,  
Charge Sum,    6.3806247238, 
X Velocity[A/fs],  -0.171898,   0.173610,  -0.698252,   0.668750,  
Y Velocity[A/fs],  -0.009133,   0.014160,   0.066433,  -0.092953, 
Z Velocity[A/fs],   0.005136,  -0.002916,  -0.071537,   0.070676,  
Speed[A/fs],   0.172217,   0.174211,   0.705044,   0.678868,  
 
C2H2_14r116,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8564341068,    2.3184477091,    0.9995561687,    0.9998905947,  
Time[fs],  63.169000,  62.349000,  26.845000,  26.978000,  
Charge Sum,    6.1743285793, 
X Velocity[A/fs],  -0.164135,   0.164838,  -0.678108,   0.665770,  
Y Velocity[A/fs],   0.005503,  -0.001238,  -0.052485,  -0.000092, 
Z Velocity[A/fs],   0.005394,  -0.010921,  -0.062305,   0.082852,  
Speed[A/fs],   0.164316,   0.165204,   0.682984,   0.670905,  
 
C2H2_14r125,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0379718542,    2.2654734850,    0.9990838784,    0.9999400603,  
Time[fs],  59.380000,  63.424000,  26.787000,  26.985000,  
Charge Sum,    6.3024692778, 
X Velocity[A/fs],  -0.178531,   0.162893,  -0.698903,   0.659809,  
Y Velocity[A/fs],   0.000950,  -0.009303,  -0.015995,   0.056387, 
Z Velocity[A/fs],   0.001083,  -0.004617,   0.040749,   0.035023,  
Speed[A/fs],   0.178537,   0.163223,   0.700273,   0.663140,  
 
C2H2_14r103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0742454529,    2.2825161219,    0.9991957883,    0.9998941572,  
Time[fs],  60.422000,  60.793000,  26.808000,  26.769000,  
Charge Sum,    6.3558515203, 
X Velocity[A/fs],  -0.173725,   0.170711,  -0.694153,   0.674191,  
Y Velocity[A/fs],   0.006229,  -0.006041,  -0.077854,   0.086057, 
Z Velocity[A/fs],   0.004068,  -0.003569,  -0.076541,   0.071371,  
Speed[A/fs],   0.173884,   0.170855,   0.702687,   0.683398,  
 
C2H2_14r6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.5683317184,    1.8170082569,    0.9992293415,    0.9999425325,  
Time[fs],  59.400000,  62.061000,  26.647000,  26.631000,  
Charge Sum,    6.3845118493, 
X Velocity[A/fs],  -0.177080,   0.166694,  -0.707242,   0.665691,  
Y Velocity[A/fs],   0.000969,   0.000104,   0.042636,  -0.034113, 
Z Velocity[A/fs],   0.000106,   0.003727,   0.040540,  -0.046664,  
Speed[A/fs],   0.177083,   0.166736,   0.709684,   0.668196,  
 
C2H2_14r44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1287735701,    2.2325600386,    0.9994027663,    0.9999223740,  
Time[fs],  59.992000,  60.998000,  26.852000,  26.820000,  
Charge Sum,    6.3606587489, 
X Velocity[A/fs],  -0.175513,   0.170673,  -0.702775,   0.663988,  
Y Velocity[A/fs],  -0.000057,   0.007084,  -0.026634,  -0.052123, 
Z Velocity[A/fs],  -0.005343,   0.009496,   0.094211,  -0.101476,  
Speed[A/fs],   0.175595,   0.171084,   0.709561,   0.673717,  
 
C2H2_14r174,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7808740139,    2.5752421618,    0.9989330731,    0.9999054055,  
Time[fs],  60.930000,  61.510000,  26.832000,  26.724000,  
Charge Sum,    6.3549546543, 
X Velocity[A/fs],  -0.171867,   0.168341,  -0.705616,   0.670202,  
Y Velocity[A/fs],  -0.000060,   0.008348,  -0.017188,  -0.057243, 
Z Velocity[A/fs],   0.000406,   0.005866,   0.009712,  -0.051017,  
Speed[A/fs],   0.171868,   0.168650,   0.705892,   0.674575,  
 
C2H2_14r82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0299135447,    2.2832915783,    0.9986261630,    0.9999535770,  
Time[fs],  59.369000,  62.424000,  26.693000,  26.784000,  
Charge Sum,    6.3117848630, 
X Velocity[A/fs],  -0.177150,   0.164302,  -0.692390,   0.672921,  
Y Velocity[A/fs],  -0.000105,  -0.004164,   0.026281,   0.019926, 
Z Velocity[A/fs],  -0.008919,   0.009625,   0.093634,  -0.065651,  
Speed[A/fs],   0.177374,   0.164636,   0.699187,   0.676409,  
 
C2H2_14r114,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3726170063,    1.9535591602,    0.9992394372,    0.9999434721,  
Time[fs],  60.947000,  61.243000,  26.889000,  26.831000,  
Charge Sum,    6.3253590758, 
X Velocity[A/fs],  -0.172088,   0.170041,  -0.691151,   0.660109,  
Y Velocity[A/fs],  -0.004977,   0.005730,   0.085185,  -0.059054, 
Z Velocity[A/fs],  -0.010155,   0.008254,   0.066190,  -0.080571,  
Speed[A/fs],   0.172459,   0.170337,   0.699519,   0.667625,  
 
C2H2_14r58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1173607111,    2.2033044100,    0.9985322246,    0.9999374398,  
Time[fs],  60.917000,  60.940000,  26.918000,  26.758000,  
Charge Sum,    6.3191347854, 
X Velocity[A/fs],  -0.172516,   0.171443,  -0.701034,   0.662121,  
Y Velocity[A/fs],   0.009520,  -0.000613,  -0.047738,  -0.024342, 
Z Velocity[A/fs],   0.000779,   0.006542,  -0.019284,  -0.054338,  
Speed[A/fs],   0.172781,   0.171569,   0.702922,   0.664792,  
 
C2H2_14r138,   C[0],   C[1],   H[2],   H[3],  
