r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Z Velocity[A/fs],   0.001611,  -0.009275,   0.018168,   0.012346,  
Speed[A/fs],   0.196645,   0.186562,   0.831692,   0.844211,  
 
r_seed=17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.428000,  36.662000,   7.919000,   7.641000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.188778,   0.192644,  -0.827138,   0.850089,  
Y Velocity[A/fs],  -0.006956,   0.003195,   0.037348,  -0.017972, 
Z Velocity[A/fs],  -0.003729,  -0.000311,  -0.017813,  -0.017081,  
Speed[A/fs],   0.188943,   0.192670,   0.828172,   0.850451,  
 
r_seed=18,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.755000,  37.191000,   7.849000,   7.634000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192790,   0.190869,  -0.826916,   0.842478,  
Y Velocity[A/fs],  -0.002424,  -0.004708,   0.010972,   0.008424, 
Z Velocity[A/fs],   0.009745,  -0.013666,   0.021734,   0.064975,  
Speed[A/fs],   0.193051,   0.191416,   0.827274,   0.845021,  
 
r_seed=19,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.420000,  37.768000,   7.884000,   7.726000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194009,   0.187589,  -0.831240,   0.845553,  
Y Velocity[A/fs],  -0.004262,   0.004741,  -0.038010,   0.004092, 
Z Velocity[A/fs],  -0.004386,   0.010107,  -0.021392,  -0.028272,  
Speed[A/fs],   0.194106,   0.187921,   0.832383,   0.846036,  
 
r_seed=20,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.896000,  38.104000,   7.794000,   7.724000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197321,   0.186532,  -0.829857,   0.841238,  
Y Velocity[A/fs],   0.000700,   0.003749,  -0.043725,   0.000884, 
Z Velocity[A/fs],  -0.004764,  -0.006343,   0.012762,  -0.038474,  
Speed[A/fs],   0.197380,   0.186678,   0.831106,   0.842117,  
 
r_seed=21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.400000,  37.751000,   7.876000,   7.696000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194101,   0.187739,  -0.830939,   0.843475,  
Y Velocity[A/fs],   0.001493,  -0.002884,   0.032974,   0.009976, 
Z Velocity[A/fs],   0.011503,  -0.013948,  -0.022986,   0.051556,  
Speed[A/fs],   0.194448,   0.188279,   0.831911,   0.845108,  
 
r_seed=22,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.516000,  38.781000,   7.795000,   7.780000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199334,   0.183518,  -0.832486,   0.839270,  
Y Velocity[A/fs],   0.014627,  -0.015123,  -0.011029,  -0.001756, 
Z Velocity[A/fs],  -0.006957,   0.011307,  -0.005523,  -0.009357,  
Speed[A/fs],   0.199991,   0.184487,   0.832577,   0.839324,  
 
r_seed=23,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.747000,  37.400000,   7.896000,   7.717000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192941,   0.189923,  -0.827657,   0.842922,  
Y Velocity[A/fs],   0.000449,   0.008647,  -0.010374,   0.034310, 
Z Velocity[A/fs],  -0.011512,   0.016743,   0.013360,  -0.056657,  
Speed[A/fs],   0.193285,   0.190855,   0.827829,   0.845520,  
 
r_seed=24,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.726000,  37.209000,   7.798000,   7.647000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192226,   0.189852,  -0.828431,   0.847639,  
Y Velocity[A/fs],   0.009638,  -0.001788,  -0.008545,  -0.014157, 
Z Velocity[A/fs],   0.005824,   0.003088,  -0.042079,   0.009610,  
Speed[A/fs],   0.192556,   0.189885,   0.829542,   0.847812,  
 
r_seed=25,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.011000,  38.241000,   7.863000,   7.809000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197030,   0.186163,  -0.830241,   0.842028,  
Y Velocity[A/fs],  -0.012827,   0.000575,   0.009500,   0.030118, 
Z Velocity[A/fs],  -0.008303,   0.012706,   0.013015,  -0.019774,  
Speed[A/fs],   0.197622,   0.186597,   0.830398,   0.842798,  
 
r_seed=26,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.993000,  38.073000,   7.799000,   7.718000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196217,   0.186081,  -0.831280,   0.844109,  
Y Velocity[A/fs],  -0.000616,  -0.008602,   0.008036,  -0.013098, 
Z Velocity[A/fs],   0.007863,   0.000380,  -0.046760,   0.014020,  
Speed[A/fs],   0.196375,   0.186281,   0.832633,   0.844327,  
 
r_seed=27,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.057000,  38.137000,   7.888000,   7.715000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196323,   0.186440,  -0.831939,   0.841448,  
Y Velocity[A/fs],  -0.010837,   0.011736,   0.020910,   0.016656, 
Z Velocity[A/fs],   0.002171,   0.009177,  -0.011021,   0.003887,  
Speed[A/fs],   0.196634,   0.187034,   0.832275,   0.841622,  
 
r_seed=28,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.778000,  37.245000,   7.847000,   7.629000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192494,   0.190392,  -0.826876,   0.843749,  
Y Velocity[A/fs],  -0.004727,   0.002613,   0.030085,  -0.033463, 
Z Velocity[A/fs],  -0.012396,   0.019427,   0.024346,  -0.025825,  
Speed[A/fs],   0.192950,   0.191399,   0.827781,   0.844807,  
 
r_seed=29,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.750000,  37.330000,   7.874000,   7.692000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192202,   0.189447,  -0.828978,   0.847977,  
Y Velocity[A/fs],  -0.000445,  -0.005617,   0.052130,   0.010092, 
Z Velocity[A/fs],   0.004864,   0.004569,  -0.017103,   0.016981,  
Speed[A/fs],   0.192264,   0.189585,   0.830791,   0.848207,  
 
r_seed=30,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.054000,  37.971000,   7.789000,   7.700000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196291,   0.186976,  -0.830396,   0.841653,  
Y Velocity[A/fs],  -0.002467,   0.012083,   0.024400,  -0.030343, 
Z Velocity[A/fs],  -0.001963,   0.014499,   0.002844,  -0.008795,  
Speed[A/fs],   0.196316,   0.187926,   0.830759,   0.842245,  
 
r_seed=31,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.737000,  37.312000,   7.890000,   7.661000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192366,   0.189779,  -0.829071,   0.845318,  
Y Velocity[A/fs],   0.004920,   0.001270,  -0.024125,  -0.000013, 
Z Velocity[A/fs],  -0.004006,   0.008295,  -0.041168,  -0.047718,  
Speed[A/fs],   0.192471,   0.189964,   0.830443,   0.846664,  
 
r_seed=32,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.868000,  38.240000,   7.821000,   7.790000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197682,   0.186106,  -0.830229,   0.839846,  
Y Velocity[A/fs],   0.005908,  -0.008752,  -0.027456,   0.070842, 
Z Velocity[A/fs],   0.002041,   0.005800,  -0.006107,   0.010882,  
Speed[A/fs],   0.197781,   0.186402,   0.830705,   0.842899,  
 
r_seed=33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.714000,  37.452000,   7.909000,   7.698000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192908,   0.189444,  -0.826560,   0.844851,  
Y Velocity[A/fs],   0.017477,  -0.011614,  -0.052761,  -0.008802, 
Z Velocity[A/fs],  -0.002190,   0.006373,   0.044617,  -0.021893,  
Speed[A/fs],   0.193710,   0.189907,   0.829443,   0.845180,  
 
r_seed=34,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
