C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Speed[A/fs],   0.231361,   0.254664,   0.244626,   0.227764,   0.904612,   0.911314,   0.857698,   0.896610,   0.924834,   0.885288,   0.865278,   0.872377,   0.889529,   0.871362,  
 
C4H10_14r4,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8776807785,    1.7966670990,    1.4627828598,    1.9408261776,    0.9991215483,    0.9972310148,    0.9786860570,    0.9993598493,    0.9998210329,    0.9926960240,    0.9967204460,    0.9993486486,    0.9996751609,    0.9996936051,  
Time[fs],  67.679000,  70.735000,  71.139000,  69.258000,  28.118000,  30.223000,  27.083000,  27.985000,  28.896000,  28.470000,  28.302000,  29.429000,  29.789000,  26.815000,  
Charge Sum,   17.0403103018, 
X Velocity[A/fs],  -0.174541,  -0.101398,   0.108550,   0.168954,  -0.169402,  -0.557504,  -0.822280,  -0.100109,  -0.519027,   0.455470,   0.044868,   0.300492,   0.392594,   0.870428,  
Y Velocity[A/fs],  -0.152316,   0.160956,   0.155628,  -0.150435,  -0.855660,  -0.159259,  -0.067366,   0.135280,   0.734340,   0.741115,   0.166313,  -0.701942,  -0.280293,   0.060873, 
Z Velocity[A/fs],   0.017526,  -0.132394,   0.122617,  -0.019243,  -0.179952,   0.696642,  -0.234417,  -0.879696,   0.093167,  -0.062599,   0.843429,   0.481361,  -0.739360,   0.057811,  
Speed[A/fs],   0.232318,   0.231768,   0.225916,   0.227038,   0.890637,   0.906357,   0.857691,   0.895649,   0.904060,   0.872137,   0.860840,   0.902622,   0.882807,   0.874467,  
 
C4H10_14r44,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7899980545,    1.6370568275,    2.1645054817,    2.2123899460,    0.9994933471,    0.9972325095,    0.9460557364,    0.9992760293,    0.9969043923,    0.9970943513,    0.9977709067,    0.9989280199,    0.9963869166,    0.9998076598,  
Time[fs],  66.495000,  68.788000,  69.640000,  66.242000,  28.349000,  30.039000,  26.894000,  27.986000,  29.472000,  28.527000,  28.123000,  28.953000,  28.689000,  26.788000,  
Charge Sum,   17.7329001787, 
X Velocity[A/fs],  -0.178555,  -0.121601,   0.120035,   0.179979,  -0.232159,  -0.553828,  -0.838350,  -0.084045,  -0.586857,   0.465917,   0.070226,   0.250625,   0.295220,   0.860073,  
Y Velocity[A/fs],  -0.142167,   0.163199,   0.163267,  -0.156184,  -0.817092,  -0.153013,  -0.079792,   0.222909,   0.709176,   0.743309,   0.082845,  -0.756928,  -0.312550,  -0.012893, 
Z Velocity[A/fs],   0.024267,  -0.134751,   0.166034,  -0.083911,  -0.315811,   0.717076,  -0.161200,  -0.876161,   0.126386,  -0.076392,   0.861287,   0.396630,  -0.796663,   0.082396,  
Speed[A/fs],   0.229526,   0.244087,   0.261977,   0.252640,   0.906242,   0.918878,   0.857429,   0.907970,   0.929142,   0.880581,   0.868107,   0.890543,   0.905270,   0.864107,  
 
C4H10_14r46,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7598938942,    1.8612248898,    2.0652760267,    1.7017853260,    0.9996972078,    0.9998969159,    0.9855680475,    0.9986128814,    0.9998435225,    0.9995749971,    0.9976216676,    0.9985889232,    0.9998226596,    0.9998651804,  
Time[fs],  70.135000,  71.156000,  71.356000,  68.797000,  28.194000,  31.054000,  27.221000,  27.883000,  28.842000,  29.061000,  27.936000,  28.512000,  30.087000,  26.948000,  
Charge Sum,   17.3672721397, 
X Velocity[A/fs],  -0.164592,  -0.109518,   0.109520,   0.168506,  -0.226726,  -0.668460,  -0.824135,  -0.114040,  -0.515150,   0.510551,   0.068721,   0.158115,   0.481073,   0.854503,  
Y Velocity[A/fs],  -0.147680,   0.149857,   0.157669,  -0.150541,  -0.838092,  -0.033117,  -0.082282,   0.097498,   0.752840,   0.731227,   0.199621,  -0.808733,  -0.250557,  -0.013803, 
Z Velocity[A/fs],   0.055098,  -0.164759,   0.161437,  -0.026725,  -0.246168,   0.628503,  -0.238455,  -0.886104,   0.058857,  -0.120810,   0.856880,   0.361724,  -0.710017,   0.221525,  
Speed[A/fs],   0.227894,   0.248187,   0.250830,   0.227533,   0.902442,   0.918124,   0.861876,   0.898716,   0.914118,   0.899972,   0.882505,   0.899941,   0.893496,   0.882859,  
 
C4H10_14r30,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.5808281898,    1.9638609886,    1.8335134983,    2.1461923122,    0.9982015772,    0.9984356714,    0.9535992928,    0.9993679986,    0.9998772516,    0.9980795338,    0.9977321771,    0.9990568875,    0.9997119039,    0.9999125741,  
Time[fs],  68.741000,  72.946000,  69.601000,  64.960000,  29.753000,  30.030000,  26.795000,  28.305000,  28.592000,  30.547000,  28.111000,  29.022000,  29.965000,  26.742000,  
Charge Sum,   17.4683698572, 
X Velocity[A/fs],  -0.167983,  -0.139088,   0.088608,   0.184106,  -0.258805,  -0.417547,  -0.852688,  -0.052815,  -0.518378,   0.621686,   0.024282,   0.144019,   0.405657,   0.854341,  
Y Velocity[A/fs],  -0.148687,   0.151391,   0.162481,  -0.149037,  -0.697865,  -0.335911,   0.008243,   0.295007,   0.736310,   0.648378,   0.232017,  -0.761123,  -0.322051,  -0.079368, 
Z Velocity[A/fs],   0.032949,  -0.148008,   0.142908,  -0.026910,  -0.497628,   0.738542,  -0.105686,  -0.861699,   0.173194,  -0.141898,   0.848837,   0.436608,  -0.729554,   0.137143,  
Speed[A/fs],   0.226742,   0.253320,   0.233825,   0.238393,   0.895337,   0.912484,   0.859253,   0.912328,   0.916986,   0.909408,   0.880310,   0.889200,   0.894720,   0.868911,  
 
C4H10_14r6,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.9728629589,    2.0675982237,    1.9363138676,    1.7604708672,    0.9991811775,    0.9950451064,    0.9708184414,    0.9989089196,    0.9944095183,    0.9995534065,    0.9959128229,    0.9948506560,    0.9930435675,    0.9998142760,  
Time[fs],  64.922000,  64.375000,  71.645000,  68.585000,  28.359000,  30.145000,  26.972000,  28.082000,  29.253000,  29.873000,  28.124000,  28.656000,  28.630000,  27.131000,  
Charge Sum,   17.6787838094, 
X Velocity[A/fs],  -0.183970,  -0.124506,   0.123406,   0.169425,  -0.253975,  -0.553775,  -0.835011,  -0.084538,  -0.510714,   0.611657,   0.087588,   0.188869,   0.379986,   0.850013,  
Y Velocity[A/fs],  -0.164314,   0.185167,   0.142216,  -0.123883,  -0.824186,  -0.172381,  -0.023725,   0.266722,   0.735159,   0.696626,   0.099213,  -0.811521,  -0.172973,  -0.106257, 
Z Velocity[A/fs],   0.028704,  -0.134186,   0.164508,  -0.090447,  -0.288439,   0.718773,  -0.246306,  -0.867804,   0.250580,  -0.070607,   0.857174,   0.267980,  -0.792843,   0.169792,  
